id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
11643172-1,11643172,8942160529,6942958017,77.30686840055402,Allowed,Tertiary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6597975 40.3497783, -74.6598100 40.3498059, -74.6600885 40.3504364)"
11643172-2,11643172,6942958017,104040288,49.253849785378655,Allowed,Tertiary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6600885 40.3504364, -74.6601735 40.3506290, -74.6602573 40.3508244, -74.6602711 40.3508564)"
11643816-0,11643816,103978126,11124620558,221.8801862334825,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6646682 40.3465896, -74.6645858 40.3465520, -74.6639481 40.3462607, -74.6631763 40.3459082, -74.6630416 40.3458467, -74.6629234 40.3457911, -74.6628224 40.3457209, -74.6627262 40.3456324, -74.6625834 40.3454378)"
11643816-1,11643816,11124620558,104052252,9.055363881149043,Allowed,Secondary,Secondary,Allowed,Allowed,Forbidden,"LINESTRING(-74.6625834 40.3454378, -74.6625325 40.3453663)"
11644247-0,11644247,1778379259,10031580460,7.382990266797654,Allowed,Forbidden,Forbidden,Lane,Lane,Forbidden,"LINESTRING(-74.6538680 40.3462701, -74.6537855 40.3462912)"
11644247-1,11644247,10031580460,104114676,370.2780041313441,Allowed,Forbidden,Forbidden,Lane,Lane,Forbidden,"LINESTRING(-74.6537855 40.3462912, -74.6537523 40.3462998, -74.6524515 40.3466205, -74.6522397 40.3466719, -74.6520130 40.3467290, -74.6517276 40.3468048, -74.6515770 40.3468410, -74.6513680 40.3468810, -74.6511074 40.3469095, -74.6508519 40.3469316, -74.6506629 40.3469489, -74.6502540 40.3469830, -74.6500240 40.3470150, -74.6497430 40.3470720, -74.6495724 40.3471128)"
11644522-0,11644522,104016454,4272433410,6.500406239650973,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6618575 40.3470213, -74.6619237 40.3469919)"
11644522-1,11644522,4272433410,4272433449,42.0797950850366,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6619237 40.3469919, -74.6623521 40.3468014)"
11644522-2,11644522,4272433449,4272433490,22.580310407057855,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6623521 40.3468014, -74.6625820 40.3466992)"
11644522-3,11644522,4272433490,5952890663,56.387048062645526,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6625820 40.3466992, -74.6628387 40.3465851, -74.6630087 40.3465085, -74.6631564 40.3464444)"
11645746-0,11645746,104082460,8942160536,12.310408865594013,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6584985 40.3500143, -74.6585471 40.3501185)"
11645746-1,11645746,8942160536,7650984054,30.61669758202729,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6585471 40.3501185, -74.6586573 40.3503804)"
11645746-2,11645746,7650984054,7650984049,23.19605192753419,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6586573 40.3503804, -74.6587429 40.3505783)"
11645746-3,11645746,7650984049,6942958020,24.161145708648476,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6587429 40.3505783, -74.6588277 40.3507855)"
11645746-4,11645746,6942958020,104082455,50.89418317878469,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6588277 40.3507855, -74.6588674 40.3508800, -74.6589932 40.3511799, -74.6590103 40.3512210)"
11647171-0,11647171,6127152652,8942159403,12.651843428289112,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6624533 40.3489040, -74.6624977 40.3490125)"
11647171-1,11647171,8942159403,103994771,313.4211584410582,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6624977 40.3490125, -74.6628059 40.3497659, -74.6629430 40.3501160, -74.6629656 40.3501719, -74.6629741 40.3502093, -74.6629809 40.3502574, -74.6629832 40.3503117, -74.6629800 40.3504040, -74.6629781 40.3504345, -74.6629900 40.3504890, -74.6630122 40.3505400, -74.6630410 40.3506100, -74.6631870 40.3509410, -74.6633467 40.3513050, -74.6633660 40.3513480, -74.6633840 40.3513990, -74.6633903 40.3514350, -74.6633990 40.3514850, -74.6633979 40.3514991, -74.6633920 40.3515790, -74.6633180 40.3517120)"
11647302-0,11647302,103984132,8942477496,6.07170594622078,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6613310 40.3498710, -74.6613094 40.3498190)"
11647302-1,11647302,8942477496,10759732112,16.26611388267208,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6613094 40.3498190, -74.6612515 40.3496797)"
11647302-2,11647302,10759732112,8942160518,31.93209482538775,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6612515 40.3496797, -74.6611380 40.3494062)"
11647302-3,11647302,8942160518,104108500,11.966306488507694,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6611380 40.3494062, -74.6610955 40.3493037)"
